CNT,SCHOOLID,StIDStd,ST24Q01,ST24Q02,ST24Q03,ST24Q04,ST24Q05,ST24Q06,ST24Q07,ST24Q08,ST24Q09,ST24Q10,ST24Q11,ST27Q01,ST27Q02,ST27Q03,ST27Q04,ST27Q05,ST27Q06,ST27Q07,ST27Q08,ST27Q09,ST27Q10,ST27Q11,ST27Q12,ST27Q13,CSTRAT,ELAB,MEMOR,rcomb1,ESCS,gender,immig2
USA,00034,01086,2,3,3,1,3,1,3,2,2,3,3,2,3,2,3,2,2,2,1,2,3,3,2,3,-0.2945,0.0385,-0.5436,563.77,0.1072,1,0
USA,00034,01084,1,4,4,1,4,1,4,1,1,4,4,3,4,4,4,3,4,4,3,4,3,4,3,4,2.504,1.1676,1.3297,640.59,-0.3905,1,1
USA,00034,01103,2,3,3,1,4,1,4,2,2,3,3,2,3,2,2,1,2,1,2,3,2,3,2,2,-0.2945,-0.2743,-1.3817,398.21,0.9453,1,0
USA,00034,01079,2,2,2,1,2,2,2,2,2,2,2,2,3,2,4,2,3,2,2,3,2,4,2,3,0.4861,0.3277,-0.5436,492.35,-0.5709,1,0
USA,00034,01089,1,1,1,1,1,2,3,2,1,3,1,4,4,4,4,2,4,3,1,3,2,4,1,4,1.6056,-0.2743,0.9843,495.85,1.1832,1,0
USA,00034,01108,1,2,1,2,1,2,2,2,2,1,2,2,3,2,1,1,4,3,1,3,1,3,1,3,0.4861,-2.4098,-0.5436,606.27,0.8069,0,0
USA,00034,01083,2,2,2,2,2,2,2,2,2,3,2,2,2,3,2,2,3,2,1,2,1,3,1,3,-0.2945,-1.5227,-0.2055,465.5,-0.9343,0,1
USA,00034,01082,2,1,2,2,2,1,3,2,2,2,3,3,3,4,3,2,4,4,2,4,2,3,2,3,0.7826,0.0385,0.9843,577.17,1.6617,0,0
USA,00034,01088,1,3,3,1,3,1,4,1,1,3,2,2,4,2,2,2,3,2,1,2,1,4,1,3,0.4861,-1.5227,-0.5436,595.61,0.3896,0,0
USA,00034,01096,2,1,1,2,1,1,1,2,1,1,1,3,3,3,3,2,2,3,2,2,2,2,1,2,-0.8077,-0.2743,0.395,459.57,-0.4982,0,0
USA,00034,01085,1,3,3,1,3,1,3,2,1,3,3,2,2,3,3,2,3,2,3,2,3,4,3,3,-0.0411,0.8778,-0.2055,619.42,0.4437,0,0
USA,00034,01091,1,3,3,1,3,1,3,1,1,3,3,2,4,3,3,2,2,3,3,1,1,4,4,4,0.2159,0.6034,0.1036,638.66,0.9748,0,0
USA,00034,01081,2,1,2,2,2,2,3,2,2,2,2,4,3,3,3,3,3,3,2,3,2,4,2,3,0.4861,0.0385,0.9843,542.38,0.9453,0,0
USA,00034,01090,2,1,2,2,1,2,2,2,2,3,1,1,3,1,1,1,2,1,1,1,2,1,1,1,-1.6827,-1.5227,-3.0191,459.41,-0.6109,0,0
USA,00034,01111,2,3,2,1,3,1,2,2,1,2,1,2,3,3,2,1,3,3,3,2,3,4,3,3,0.2159,0.6034,-0.2055,572.6,0.922,0,0
USA,00034,01112,2,3,3,2,2,2,3,2,2,3,1,1,4,1,1,1,2,1,1,1,1,3,1,3,-0.2945,-2.4098,-3.0191,581.34,0.4737,0,
USA,00034,01107,1,1,1,2,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-3.4531,-2.4098,-3.0191,515.37,0.4796,0,0
USA,00034,01102,2,2,3,2,2,2,3,1,2,3,3,1,4,2,4,1,4,3,3,3,3,3,4,4,1.1341,1.4986,-0.9276,495.88,0.4159,0,
USA,00034,01099,1,1,1,1,1,1,2,2,2,1,1,1,1,2,2,1,2,2,1,2,3,3,2,1,-1.3664,-0.2743,-1.3817,501.66,-0.6823,0,0
USA,00034,01105,1,1,1,1,3,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,-3.4531,-2.4098,-3.0191,444.9,-1.1932,0,0
USA,00034,01092,2,3,3,1,3,2,3,2,2,3,2,2,4,3,4,3,3,4,3,4,4,3,4,4,1.1341,1.9347,0.6832,542.78,0.7637,0,0
USA,00034,01109,2,2,2,1,3,2,3,2,1,3,1,1,3,3,4,1,4,1,4,4,3,4,3,4,1.6056,1.4986,-1.3817,603.39,0.8333,0,0
USA,00035,01122,1,4,4,1,4,1,3,2,2,4,4,2,4,4,2,1,4,3,1,4,1,4,2,3,1.6056,-1.0185,0.1036,666.48,1.5528,1,0
USA,00035,01115,1,4,3,2,4,1,4,2,1,3,4,1,4,2,2,1,2,1,1,1,2,3,1,3,-0.2945,-1.0185,-1.9702,623.03,1.2885,1,0
USA,00035,01124,1,3,3,2,3,1,4,1,1,3,2,1,2,1,2,1,2,1,2,2,2,4,2,3,-0.2945,-0.2743,-3.0191,661.48,1.4996,1,0
USA,00035,01128,2,3,4,2,1,2,3,2,1,3,2,1,4,1,2,1,3,1,1,3,2,4,1,4,1.1341,-1.0185,-3.0191,644.48,1.3225,1,1
USA,00035,01119,2,2,2,2,3,1,3,2,2,3,3,3,3,3,3,3,3,2,2,3,2,3,2,4,0.4861,0.0385,0.395,608.25,1.2885,1,0
USA,00035,01125,1,3,3,2,3,1,3,2,1,3,2,3,3,2,3,2,,2,1,3,4,4,2,3,0.5849,0.3277,-0.2055,440.71,0.4546,1,0
USA,00035,01121,1,4,3,1,4,1,4,1,1,3,3,2,3,4,2,2,2,3,1,3,1,4,1,2,-0.0411,-1.5227,0.395,630.1,-0.0957,1,0
USA,00035,01120,2,2,2,2,3,1,4,2,2,2,2,2,4,4,3,1,2,2,1,4,3,4,2,3,0.7826,0.0385,-0.2055,624.62,0.2596,1,1
USA,00035,01123,1,3,3,1,3,1,3,2,1,3,2,1,2,1,2,1,1,1,1,2,1,2,2,1,-1.6827,-1.0185,-3.0191,595.45,0.7637,0,0
USA,00035,01113,2,1,1,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,-1.0786,-0.2743,-0.5436,316.15,-1.2988,0,0
USA,00035,01118,2,4,4,1,3,1,4,1,1,3,4,2,2,3,2,2,3,3,2,3,2,4,3,2,-0.0411,0.0385,0.1036,504.86,1.2357,0,0
USA,00035,01116,1,3,3,1,3,1,3,2,1,2,2,1,3,3,2,1,3,1,1,3,1,3,2,4,0.4861,-1.0185,-1.3817,627.36,0.9973,0,0
USA,00035,01126,1,3,3,2,3,1,4,2,2,4,3,3,3,3,4,1,3,2,2,3,2,3,3,2,-0.0411,0.6034,-0.2055,601.3,1.4204,0,0
USA,00035,01117,2,2,2,2,3,1,3,2,1,4,1,3,3,3,4,1,4,1,4,4,4,4,4,4,1.6056,2.7571,-0.5436,577.41,0.8119,0,0
USA,00035,01127,2,2,2,2,2,2,2,2,2,3,2,2,3,3,2,1,2,2,2,3,2,3,3,2,-0.2945,0.0385,-0.5436,488.99,1.0245,0,0
USA,00035,01114,2,2,3,1,2,2,3,1,1,4,2,1,4,3,4,1,3,2,2,4,2,4,2,3,1.1341,0.3277,-0.9276,635.7,1.4204,0,0
USA,00036,01144,2,2,2,2,3,2,3,2,2,3,3,2,3,2,2,2,2,2,2,2,2,2,2,2,-0.8077,-0.2743,-0.5436,311.62,-0.1434,1,0
USA,00036,01139,1,4,3,1,3,1,4,1,1,3,4,2,3,3,2,2,3,4,2,,2,4,2,4,0.8485,-0.2743,0.395,566.15,0.4979,1,0
USA,00036,01130,2,3,3,2,3,1,4,1,2,4,4,1,3,2,3,2,4,2,2,4,3,4,3,3,1.1341,0.6034,-0.9276,618.66,0.4373,1,1
USA,00036,01133,2,2,2,1,1,2,3,2,2,2,2,3,4,4,4,2,3,3,2,4,2,4,2,4,1.6056,0.3277,0.6832,533.82,0.4043,1,0
USA,00036,01141,2,1,2,2,3,1,3,2,2,4,2,1,3,4,4,1,4,3,2,4,2,4,2,4,1.6056,0.3277,-0.2055,517.69,-0.533,1,0
USA,00036,01146,1,1,1,2,1,1,1,2,2,1,2,3,2,2,1,1,1,1,1,1,2,2,1,2,-1.6827,-1.5227,-0.9276,434.2,0.2429,1,0
USA,00036,01131,2,2,2,2,2,2,3,2,2,3,2,4,4,4,4,2,2,4,3,4,4,4,4,4,1.1341,1.9347,1.3297,489.17,-0.3288,1,0
USA,00036,01132,2,2,3,2,3,2,2,2,1,2,3,1,3,2,2,1,2,1,2,2,2,2,2,2,-0.8077,-0.2743,-1.9702,410.13,-0.0127,1,0
USA,00036,01135,1,3,2,2,3,1,3,2,1,2,2,4,3,4,4,1,4,4,1,4,4,4,3,3,1.1341,0.8778,0.9843,626.13,0.5011,1,0
USA,00036,01138,2,3,2,2,2,2,3,2,2,3,2,2,2,2,2,3,3,3,2,3,1,4,1,3,0.2159,-1.0185,0.1036,525.4,0.2642,1,0
USA,00036,01134,2,2,2,2,1,2,3,2,2,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,0.2159,0.8778,0.395,445.88,-0.1075,1,0
USA,00036,01147,2,1,1,1,3,1,4,2,1,1,3,2,2,3,3,3,3,3,3,3,3,3,3,3,-0.0411,0.8778,0.395,494.97,0.0177,1,0
USA,00036,01142,1,3,2,1,3,1,2,1,1,4,3,1,3,3,1,1,3,3,1,3,1,3,1,3,0.2159,-2.4098,-0.5436,509.83,-0.7653,1,0
USA,00036,01137,2,3,4,2,3,1,4,2,2,4,4,3,3,3,3,2,3,3,3,3,3,3,4,4,0.4861,1.1676,0.395,520.1,0.8499,0,0
USA,00036,01148,2,2,1,2,2,2,3,2,2,2,1,2,2,3,4,3,2,2,2,2,1,2,3,3,-0.8077,0.3277,0.1036,498.13,0.6563,0,1
USA,00036,01129,2,3,3,2,1,1,3,1,1,3,3,2,3,2,1,3,3,4,3,2,1,4,3,4,0.4861,-0.2743,0.395,618.54,0.7491,0,0
USA,00036,01145,1,1,3,2,1,2,2,1,2,2,1,3,3,3,3,2,2,3,3,3,2,3,2,2,-0.2945,0.3277,0.395,456.36,-1.0136,0,0
USA,00036,01136,1,3,3,1,3,1,2,2,2,3,1,3,1,1,1,1,1,1,1,1,1,1,1,1,-3.4531,-2.4098,-1.3817,423.4,0.9484,1,0
USA,00036,01149,2,1,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,-1.0786,-0.2743,-0.5436,370.98,0.713,0,0
USA,00036,01143,2,1,2,2,,2,3,,,,1,2,2,1,2,2,,2,2,,2,2,2,2,-1.0764,-0.2743,-0.9276,403.53,-0.1852,0,
USA,00036,01140,1,3,2,2,2,1,4,2,1,3,4,3,3,3,3,1,3,1,1,1,1,4,3,1,-0.5485,-0.2743,-0.5436,477.21,0.3962,0,0
USA,00037,01160,2,2,3,2,1,2,3,2,2,3,3,1,3,2,3,1,4,2,1,3,4,4,2,2,0.4861,0.3277,-1.3817,623.43,1.0812,1,0
USA,00037,01157,2,2,2,1,2,2,3,2,1,2,3,3,4,3,2,1,3,3,1,2,1,4,2,4,0.7826,-1.0185,0.1036,618.58,0.3037,1,0
USA,00037,01167,2,2,1,1,2,2,3,2,1,3,2,1,3,2,2,2,4,3,1,3,1,4,1,3,0.7826,-1.5227,-0.5436,671.17,1.1931,1,0
USA,00037,01162,2,4,3,2,3,1,3,2,1,3,3,2,2,2,2,2,2,2,1,3,2,3,1,3,-0.2945,-1.0185,-0.5436,627.08,0.8429,1,0
USA,00037,01163,2,2,3,1,2,2,3,2,2,3,3,3,3,3,1,4,2,3,1,2,1,2,1,2,-0.8077,-2.4098,0.9843,573.54,0.342,1,1
USA,00037,01152,1,2,1,1,2,1,4,1,2,3,3,2,4,,2,3,3,3,1,4,2,4,3,3,1.1341,-0.2743,0.4361,687.93,1.5264,1,0
USA,00037,01159,2,3,3,1,3,1,4,2,1,3,3,2,2,3,2,1,1,2,1,1,1,3,2,1,-1.6827,-1.0185,-0.5436,562.34,0.1269,1,0
USA,00037,01154,2,3,3,2,3,2,3,,2,2,3,2,2,3,2,2,3,3,3,3,3,2,3,3,-0.2945,0.6034,0.1036,518.96,-1.2617,1,0
USA,00037,01155,1,3,3,2,3,1,3,1,1,3,3,1,4,3,3,3,3,2,1,3,1,3,1,3,0.4861,-1.0185,-0.2055,631.61,1.1931,1,0
USA,00037,01164,2,2,3,2,2,1,3,2,2,2,2,3,3,3,2,1,3,2,1,4,2,3,2,3,0.4861,-0.6208,-0.2055,602.37,0.6685,1,0
USA,00037,01165,1,3,3,2,3,1,3,2,2,3,3,2,2,2,3,1,3,2,2,2,2,3,3,3,-0.2945,0.3277,-0.9276,698.42,-0.235,1,0
USA,00037,01161,2,2,2,1,3,1,3,2,2,4,3,3,3,4,4,3,3,3,2,3,3,4,3,2,0.2159,0.8778,0.9843,505.78,1.1931,1,0
USA,00037,01153,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,2,3,3,2,-0.0411,0.6034,0.6832,569.4,0.6499,0,0
USA,00037,01169,2,2,2,1,3,2,3,2,2,2,2,3,2,3,3,2,4,4,2,2,4,3,3,4,0.2159,0.8778,0.6832,558.09,1.5825,0,0
USA,00037,01168,2,3,2,2,3,1,3,2,2,3,2,3,3,3,4,2,4,4,2,3,3,3,3,3,0.4861,0.8778,0.6832,478.73,0.2693,0,0
USA,00037,01158,2,1,1,2,1,1,1,2,2,1,1,2,3,3,3,3,3,3,3,3,3,3,3,3,0.2159,0.8778,0.395,374.67,-1.2015,0,0
USA,00037,01151,2,2,2,2,1,1,2,2,1,2,1,2,3,3,2,3,3,3,1,1,2,4,2,3,-0.0411,-0.6208,0.395,534.36,0.1058,0,0
USA,00037,01156,2,1,3,2,2,2,2,2,2,2,2,1,3,2,3,1,2,4,1,3,3,4,3,3,0.2159,0.3277,-0.5436,485.78,0.8499,0,0
USA,00037,01166,2,2,2,2,2,2,2,2,2,2,3,2,3,3,2,1,2,2,2,3,2,2,2,1,-0.8077,-0.2743,-0.5436,485.62,0.2665,0,0
USA,00037,01150,2,2,2,2,1,2,2,2,2,2,2,2,2,3,4,1,3,3,2,4,2,4,2,2,0.2159,0.3277,-0.2055,573.73,0.1359,0,0
USA,00038,01184,2,4,3,2,2,2,3,2,2,1,3,1,2,1,2,1,3,4,1,2,2,3,1,2,-0.5485,-1.0185,-0.9276,441.43,-0.9079,1,0
USA,00038,01174,2,2,2,2,3,2,3,2,2,2,2,1,1,1,2,1,3,1,1,2,3,1,4,2,-1.3664,0.3277,-3.0191,603.8,1.8195,1,1
USA,00038,01197,2,2,3,2,2,2,3,2,2,2,2,3,4,2,3,2,3,4,1,2,3,4,3,2,0.2159,0.3277,0.395,536.36,0.6563,1,0
USA,00038,01177,2,2,3,2,2,2,2,2,2,3,3,2,3,3,3,1,4,3,2,2,2,2,2,3,-0.0411,0.0385,-0.2055,430.31,0.3649,1,0
USA,00038,01193,2,1,3,2,2,2,2,2,2,3,2,4,4,4,3,2,4,4,2,3,2,4,2,2,0.7826,0.0385,1.3297,519.36,1.1139,1,0
USA,00038,01173,1,3,3,1,4,1,4,1,1,3,2,3,4,3,4,1,4,1,4,4,4,4,4,4,2.504,2.7571,-0.5436,699.21,0.0678,1,0
USA,00038,01194,2,3,2,2,3,1,2,1,1,3,3,2,3,2,3,1,3,3,2,3,2,4,3,4,0.7826,0.3277,-0.5436,508.32,0.5629,1,0
USA,00038,01195,2,2,2,1,2,2,3,2,2,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,2.504,2.7571,1.3297,493.62,0.4218,1,0
USA,00038,01170,1,4,4,1,3,1,4,2,1,2,1,2,3,4,3,2,2,3,2,2,2,3,2,3,-0.2945,0.0385,0.395,536.84,0.7177,1,0
USA,00038,01178,2,2,2,1,2,2,2,2,,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-1.0786,-0.2743,-0.5436,349.6,-0.5053,1,0
USA,00038,01199,2,2,2,2,2,2,2,2,2,3,2,2,3,1,1,1,2,1,1,2,1,1,2,2,-1.0786,-1.5227,-1.9702,352.14,-1.0447,1,1
USA,00038,01185,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,1,2,1,4,3,3,2,2,2,-0.8077,0.8778,-1.3817,448.58,-1.0731,1,0
USA,00038,01190,2,3,3,2,3,2,3,2,2,3,3,2,2,2,3,2,3,2,2,2,3,2,2,2,-0.8077,0.3277,-0.5436,465.1,-0.954,0,1
USA,00038,01192,1,3,3,1,3,1,2,2,2,2,2,2,4,4,4,1,2,3,2,2,2,4,3,4,0.4861,0.6034,0.1036,537.81,-1.48,0,0
USA,00038,01181,2,2,1,2,1,2,3,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,3,-0.8077,-0.2743,-0.5436,368.42,-0.3455,0,1
USA,00038,01176,2,2,,2,2,2,,,,,,,1,,3,,2,2,1,3,3,3,3,3,-0.5485,0.3277,-0.5493,496.45,0.842,0,0
USA,00038,01182,2,2,3,2,2,2,2,2,2,2,2,3,3,3,3,2,3,2,1,3,4,3,3,2,-0.0411,0.6034,0.1036,440.09,-0.6109,0,0
USA,00038,01201,2,2,3,2,2,2,2,2,2,2,3,3,2,2,3,1,2,2,,1,2,3,2,2,-1.0786,0.0351,-0.5436,468.95,-1.0391,0,1
USA,00038,01196,2,2,2,2,1,2,2,2,1,2,2,2,3,3,3,1,2,2,3,3,1,3,2,2,-0.2945,0.0385,-0.5436,471.19,-0.0276,0,0
USA,00038,01175,2,2,2,1,2,2,3,2,2,3,3,3,3,3,3,2,2,2,3,4,2,2,2,2,-0.2945,0.3277,0.1036,438.24,-0.6117,0,1
USA,00038,01179,1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,-2.5423,-2.4098,-1.9702,369.46,-1.0494,0,1
USA,00038,01191,2,3,2,2,3,1,4,2,1,2,2,2,2,3,3,2,2,3,3,2,2,3,2,4,-0.2945,0.3277,0.1036,535.01,-2.2021,0,1
USA,00038,01183,2,1,2,2,2,2,1,2,2,2,1,1,3,2,2,1,3,1,1,3,2,3,2,2,-0.0411,-0.6208,-1.9702,547.99,-0.2096,0,0
USA,00038,01172,1,4,4,1,4,1,3,1,1,3,2,2,4,2,3,1,3,1,2,2,1,4,2,3,0.4861,-0.2743,-1.3817,647.16,2.1132,0,0
USA,00038,01187,2,2,2,1,3,1,1,2,2,2,2,3,3,3,3,2,2,3,1,2,3,3,2,2,-0.5485,0.0385,0.395,438.48,0.2881,0,
USA,00038,01186,2,1,2,1,2,2,2,2,2,3,2,2,3,3,2,1,2,2,1,2,2,3,2,3,-0.2945,-0.6208,-0.5436,462.62,-1.499,0,1
USA,00038,01189,2,2,2,1,1,2,2,2,1,3,3,2,3,3,2,1,2,1,1,2,1,2,3,3,-0.5485,-0.6208,-0.9276,482.02,0.1469,0,0
USA,00038,01171,2,3,3,2,1,2,2,2,2,1,2,2,3,3,2,2,3,3,1,3,1,3,1,2,-0.0411,-1.5227,0.1036,444.34,-0.8551,0,1
USA,00038,01200,2,2,2,2,2,2,2,2,2,2,2,2,4,3,3,1,2,1,2,2,2,2,3,3,-0.2945,0.3277,-0.9276,476.97,-0.8037,0,0
USA,00038,01180,2,1,2,2,3,1,3,2,2,4,3,2,2,2,3,3,4,2,2,3,2,3,2,3,0.2159,0.0385,-0.2055,628.32,1.5852,0,0
USA,00038,01188,1,3,3,2,3,1,4,2,1,4,2,3,4,3,3,2,3,2,3,3,3,4,2,4,1.1341,0.6034,0.1036,607,1.7436,0,0
USA,00038,01198,2,2,2,1,1,1,3,2,,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-1.0786,-0.2743,-0.5436,487.31,-0.8599,0,1
USA,00039,01222,1,4,3,1,4,1,4,1,1,2,3,2,4,3,2,2,1,1,2,4,3,4,2,3,0.4861,0.0385,-0.5436,601.66,0.2289,1,0
USA,00039,01212,2,2,2,1,3,2,3,2,2,4,3,3,3,3,2,4,2,4,2,2,2,2,3,1,-1.0786,0.0385,1.3297,444.05,-0.9655,1,0
USA,00039,01226,2,2,2,1,2,2,2,2,2,2,2,1,1,3,2,1,1,1,1,1,1,1,1,1,-3.4531,-1.5227,-1.3817,482.02,-1.4597,1,0
USA,00039,01203,1,1,2,2,1,2,1,1,1,2,2,2,3,2,4,2,4,4,3,3,4,4,3,3,0.7826,1.4986,0.1036,522.14,0.1875,1,0
USA,00039,01219,2,3,3,2,3,2,3,2,2,3,3,3,2,3,2,3,3,3,2,2,2,3,2,3,-0.2945,-0.2743,0.6832,529.61,-0.0101,1,0
USA,00039,01215,1,4,4,1,3,1,3,2,1,4,4,,2,3,1,1,2,2,1,2,2,4,2,4,-0.0411,-1.0185,-0.4809,682.05,0.0146,1,0
USA,00039,01202,2,3,2,2,3,2,3,2,2,2,2,3,3,3,3,2,2,3,1,2,2,2,2,2,-0.8077,-0.2743,0.395,556.3,0.9548,1,0
USA,00039,01211,2,2,3,2,2,1,3,2,2,3,3,1,2,3,2,1,2,2,1,2,1,3,1,2,-0.8077,-1.5227,-0.9276,370.97,0.8956,1,0
USA,00039,01223,2,1,1,2,3,2,4,2,2,2,4,3,4,4,4,3,3,4,3,3,2,3,2,4,0.7826,0.6034,1.3297,394.8,0.1889,1,0
USA,00039,01232,2,2,2,2,2,2,3,2,2,2,3,3,3,3,1,1,2,2,1,2,1,3,1,2,-0.5485,-2.4098,-0.2055,425.22,0.3081,1,0
USA,00039,01204,1,2,1,1,2,2,2,2,2,2,3,2,3,3,2,1,3,3,2,2,3,2,1,3,-0.2945,-0.2743,-0.2055,334.19,-0.4822,1,0
USA,00039,01230,2,1,2,2,1,2,3,2,2,2,3,2,2,2,2,2,3,3,1,2,2,2,2,3,-0.5485,-0.6208,-0.2055,470.82,0.8401,1,0
USA,00039,01221,2,2,2,2,3,2,3,2,2,2,2,3,2,4,2,2,2,3,1,2,1,3,1,2,-0.8077,-1.5227,0.6832,486.15,0.4796,1,0
USA,00039,01217,2,2,2,2,3,2,3,2,2,2,3,2,2,3,1,2,3,2,1,2,1,3,2,2,-0.5485,-1.5227,-0.2055,493.46,-0.3008,1,0
USA,00039,01206,2,3,3,2,3,1,3,2,2,3,3,4,4,4,3,2,4,3,1,4,1,4,1,3,1.6056,-1.0185,0.9843,555.82,-0.2574,1,0
USA,00039,01205,1,4,4,1,4,1,4,1,1,4,4,2,4,2,4,1,3,2,2,3,3,4,2,3,0.7826,0.6034,-0.9276,597.13,0.1219,1,0
USA,00039,01231,1,1,1,2,1,1,1,1,2,1,1,2,3,4,2,1,2,1,2,2,3,3,2,2,-0.5485,0.0385,-0.5436,505.75,1.4472,0,0
USA,00039,01225,2,2,2,1,3,2,2,1,1,2,3,1,3,2,2,1,2,4,1,2,1,3,1,2,-0.5485,-1.5227,-0.5436,524.02,0.7394,0,0
USA,00039,01213,2,2,2,2,1,2,2,1,1,2,1,2,2,3,3,1,2,1,3,2,3,2,1,2,-1.0786,0.3277,-0.9276,438.16,0.1033,0,0
USA,00039,01218,2,3,3,1,3,1,3,2,1,4,4,2,4,3,3,3,4,4,2,3,2,4,3,3,1.1341,0.3277,0.6832,510.48,1.1931,0,0
USA,00039,01209,2,1,2,2,1,2,2,2,1,1,1,2,1,3,3,1,2,1,1,2,3,3,3,2,-1.0786,0.3277,-0.9276,330.26,0.067,0,0
USA,00039,01214,1,3,3,2,3,1,4,1,1,3,3,2,4,2,2,2,2,1,2,3,2,3,3,4,0.4861,0.0385,-0.9276,541.26,1.5264,0,0
USA,00039,01224,2,1,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-1.0786,-0.2743,-0.5436,369.06,1.3181,0,0
USA,00039,01207,1,2,1,2,1,1,3,2,1,1,1,3,3,3,3,1,2,1,1,1,3,2,1,3,-0.8077,-0.2743,-0.5436,316.79,-0.3536,0,0
USA,00039,01229,2,3,2,1,3,1,2,2,1,3,2,3,4,3,3,2,2,2,1,2,1,3,2,2,-0.2945,-0.6208,0.1036,686.12,1.5264,0,0
USA,00039,01227,2,3,3,2,3,2,4,2,1,3,1,2,4,3,3,2,3,2,2,3,4,3,2,3,0.4861,0.6034,-0.2055,546.39,0.8401,0,0
USA,00039,01208,2,1,2,2,2,2,1,2,2,1,1,1,3,1,1,1,1,1,1,2,2,4,2,1,-0.8077,-1.0185,-3.0191,582.22,0.2177,0,0
USA,00039,01220,2,2,2,2,2,2,2,2,2,2,2,1,3,2,3,1,1,2,1,2,2,3,2,1,-1.0786,-0.2743,-1.3817,448.19,0.326,0,0
USA,00039,01216,2,1,1,2,1,2,2,2,2,2,1,2,3,3,2,2,2,4,1,2,2,4,2,2,-0.2945,-0.6208,0.395,514.48,1.1832,0,0
USA,00039,01210,2,1,3,2,2,2,1,2,2,2,1,1,2,2,2,2,2,2,1,2,1,2,1,1,-1.3664,-1.5227,-0.9276,396.24,-0.155,0,0
USA,00039,01228,2,1,2,2,2,2,1,1,2,1,1,3,1,2,1,1,2,1,2,1,1,1,1,1,-2.5423,-1.5227,-0.9276,378.28,0.6576,0,0
USA,00040,01253,1,3,3,1,3,1,4,1,1,2,4,1,4,3,1,1,3,1,1,3,1,3,1,1,-0.0411,-2.4098,-1.3817,585.93,0.6582,1,0
USA,00040,01243,1,3,4,1,3,1,4,2,1,3,3,2,1,1,3,1,3,1,2,3,3,4,3,2,-0.2945,0.6034,-1.9702,679.27,0.1399,1,0
USA,00040,01236,2,1,2,1,2,2,2,2,2,3,2,1,3,2,1,1,3,2,1,3,1,3,1,3,0.2159,-2.4098,-1.3817,612.7,0.3955,1,0
USA,00040,01233,1,3,3,2,3,2,4,2,1,3,2,2,3,2,4,1,3,2,4,3,4,3,3,4,0.4861,1.9347,-0.9276,649.56,1.1892,1,0
USA,00040,01247,2,2,3,1,2,2,3,1,1,3,3,1,2,1,2,2,2,3,1,3,2,3,4,3,-0.2945,0.0385,-0.9276,568.69,0.3427,1,0
USA,00040,01261,2,2,2,2,3,2,4,1,1,3,3,1,3,3,1,2,2,3,1,2,2,2,2,2,-0.8077,-1.0185,-0.2055,516.82,-0.2824,1,0
USA,00040,01252,1,3,3,2,4,1,4,1,1,3,3,3,3,3,4,2,1,2,2,2,3,3,4,3,-0.5485,1.1676,0.1036,560.83,-0.0456,1,0
USA,00040,01263,1,1,2,2,1,1,1,1,2,2,2,1,2,2,2,1,2,1,2,2,2,2,2,2,-1.0786,-0.2743,-1.9702,477.26,-0.0712,1,0
USA,00040,01235,2,2,3,2,3,2,3,2,2,3,3,2,4,3,2,1,4,4,1,3,2,3,3,3,0.7826,-0.2743,0.1036,578.86,0.2353,1,0
USA,00040,01242,2,2,3,1,1,1,1,1,2,3,4,2,2,3,2,1,3,3,2,3,3,1,2,3,-0.5485,0.0385,-0.2055,489.09,0.1345,1,0
USA,00040,01244,2,1,3,2,2,2,2,2,2,3,4,3,3,2,2,3,4,4,4,4,4,4,3,3,1.1341,1.1676,0.6832,561.94,0.9984,1,0
USA,00040,01257,2,1,1,2,2,2,2,2,2,2,2,2,3,2,3,3,3,2,3,3,3,3,2,2,-0.0411,0.6034,-0.2055,399.56,0.9255,1,0
USA,00040,01258,2,2,2,2,2,2,2,2,2,2,3,3,2,3,3,1,2,1,1,1,1,3,1,1,-1.3664,-1.0185,-0.5436,525.32,-0.8484,1,0
USA,00040,01260,2,2,3,2,3,1,3,2,2,3,3,1,4,2,4,1,4,1,4,4,4,4,4,1,0.7826,2.7571,-1.9702,550.66,0.8069,1,0
USA,00040,01240,2,2,2,2,1,2,2,2,2,1,1,2,3,2,2,2,4,3,2,3,3,3,2,3,0.4861,0.0385,-0.2055,481.15,-0.5594,1,0
USA,00040,01266,2,3,4,1,4,1,4,1,1,4,4,4,2,4,4,2,4,2,4,4,4,4,3,4,1.1341,1.9347,0.6832,652.02,1.1597,1,0
USA,00040,01246,1,1,1,2,1,1,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,-1.0786,-0.2743,-0.5436,510.15,0.064,0,0
